primary_disease_renamed,ABL1,ABL2,AXL,BMX,BTK,CAMK1D,CAMK2G,CAV1,CSK,EGFR,EPHB4,FER,FES,FGR,FRK,FYN,HCK,LCK,LYN,MAP4K2,MAP4K5,MINK1,PTK2,PTK2B,SIK1,SIK2,SIK3,SRC,STK10,STK24,STK4,SYK,TBK1,TEC,TNK2,YES1
Engineered,5.191579757499063,4.022511232200695,6.704364185183083,0.02582204191500432,0.070846800413439,2.1106740727836097,4.630059460741938,7.780326106315856,5.5264613435257095,4.887274109599878,5.241730943997716,2.5494326198639117,1.348708832151986,0.16269100888150528,0.42315773970828596,5.285603066152011,0.27469651224520725,0.17722288501682537,2.672110149824797,3.0532418831494215,5.059352105275304,5.376227910316899,6.167021565648972,2.5622805559007027,2.0155883297556003,2.895590750362388,3.163788907225247,4.595750072936437,3.60350187943862,5.846178350839387,4.079132748112134,0.7367236946316964,4.589165937268894,1.1304327077544427,4.149600292466224,4.946047447885745
Esophageal Cancer,4.3479393777011675,2.996912527185405,3.9374474651838036,0.09327212320729641,0.2553570471703831,1.7248441360534632,4.273466474133732,7.432269527456092,5.112945961787725,5.765790372678644,4.999932927146544,2.145897023228624,0.8051401905394974,0.06967783782616531,1.550752788722486,3.1249828425548083,0.7955036639421486,0.7050237803330831,3.0383831816021942,3.529074696716315,4.602886351753048,5.188217019577434,6.089911953236614,3.3056707887076446,1.8505810844392834,2.4181735428379607,3.0071651544458113,4.662133238397416,3.382396571997808,6.174935412787602,3.845279565967302,2.703533890376512,4.657736528426877,1.1445769227086147,4.372172536408309,5.3057243294016825
Ewing Sarcoma,5.095369611088171,2.884732488228739,1.0891522479694766,0.0146363100548195,0.19000105581726284,2.4832259430985895,4.309848682364586,9.13629400299601,5.595532095229112,0.6190958926407079,5.909103469692735,1.9162123378803306,0.5308947910910856,0.10527562022455403,0.6573510284807191,5.178227596280192,0.06136453338516762,0.1377580398767979,1.3982339129461234,4.031356735938534,4.256852567510055,4.733961247109445,6.68791076018278,3.342486140007112,0.977065377502084,2.985170088411277,3.786311300442585,3.8305072601012284,2.075418917544964,5.244687747288546,3.9745301122759455,0.7694015428019031,4.287767378988315,0.7055201219556723,3.868333376240961,5.200394749916084
Eye Cancer,4.820700170164835,4.362154987982278,1.2767666881134176,0.0640656798758313,1.8486401539457094,0.7718636785055649,3.7222908165737376,3.416776597589554,5.165154335894711,1.3787031593655077,3.783779551483806,2.546015947964062,0.7201130438136983,0.07257524337008767,0.40434903947597944,4.741649694003488,0.08687571632168714,0.11770934842151363,2.9036116979270026,3.3921585109869956,4.171289733094076,4.8941939231385,6.323662094689839,1.9324459663911246,1.745540795242787,2.7913044744957007,3.1993410530987267,4.112041251638126,4.167873492455586,5.566784818169366,3.918027914423983,1.2714508652970937,4.5142405893214015,0.9288382100403771,3.8339032371188635,4.181210587240343
Gastric Cancer,4.6044821119664405,2.92283791839788,2.7940097447102823,0.13092926294650253,0.12817590324988143,1.185240583087886,4.3859182800723815,4.322599462069922,5.341479441006056,4.3795847112624005,5.283912500010148,2.193815153278101,0.7162455629972116,0.06539860830709895,1.6348671978380156,3.461529334492117,0.11108925690970764,1.0717769954734984,3.0862416068931062,3.3932451383646858,4.3137710597848695,5.22017454462663,6.044715267093934,3.027624158568077,1.918282474621881,3.080643712054246,3.5075521793111406,4.904782788981692,3.346697769151386,6.146784968222171,4.2060514214623455,2.550866730305761,4.725976611619462,1.3678016241673472,4.428083642580011,5.096313949261413
Glioma,5.1982745336353995,4.1993437389357124,6.578567044194949,0.047462145345037135,0.17852581576233317,1.740468002583716,4.285227096338704,8.648135278184494,5.410021930415876,4.60094041719561,5.319423631963027,2.7114543564105724,0.5277291973668723,0.14221204023781175,0.22803492618366,5.508140892254111,0.1551063016855269,0.1495117243378675,1.8788700431118242,3.399991639487952,4.525783954910599,4.914110981629076,5.7431300466119035,1.9092461493509232,1.4518162709106917,3.1588908491964145,3.262042969176699,4.00613080371252,3.9564778324331615,5.492365832421587,4.001487132367104,0.10194847425706664,4.804256140088329,0.3165340336817663,4.2550149324887165,4.920879504328207
Head and Neck Cancer,4.261898476432388,2.9009831013053438,4.484869447511701,0.1358556159381943,0.15051762998427343,1.2440735148578914,4.230763992954871,8.189415416870553,4.96341423081615,5.933063731559886,4.6884662698526665,2.145812751755311,0.5876356485211919,0.16843561432343684,1.5547546192252426,3.168204923853755,0.1611341779568679,0.755164019528736,3.2755405787636,3.343224199555333,4.273671248575196,5.311642401014843,5.862698370764486,3.6609152142005885,1.9267216559762554,2.184513686849227,2.739310216380684,4.811573597367199,3.344280604063325,6.141379187674664,3.650334625043159,2.706474621283646,4.4617211823808365,0.913718739652447,4.0132570566373,4.5376225161026955
Kidney Cancer,4.742591325990159,3.7105449031812094,6.2244967150146495,0.00610368650441354,0.10623967764399747,1.7570235431918342,4.216634565241613,8.18518197117316,4.5134097659433765,5.54969642228664,3.7798797458540165,2.369170372654295,0.23341209615812716,0.029798151853418893,1.3730268656147862,2.346660734481003,0.14865126911529222,0.11168891594495924,2.60476032405237,2.8578435722672073,4.11707079986152,4.540751019775372,5.896470706247188,1.8738105532741294,2.5127711265195227,2.380617035415598,2.6147488809862076,4.962676063677433,3.4083068194356616,5.384541884425933,3.5896764977741173,0.8662424537695939,4.823868560279751,1.435935386565514,2.9645756264254386,4.620882082892387
Liposarcoma,5.212981816228888,3.7898612052513947,5.998747667606496,0.023545846679124648,0.15242533462918886,2.13299482159771,4.301595903160502,7.662759191785204,5.184695985471285,4.185912267967713,4.20428007384632,2.448435458563013,0.7901816080431625,0.2770996089336833,0.6806575148481766,4.951716430055313,0.23994338463056222,0.12276825082460223,2.6869691200036945,2.7150451330503205,4.652750287931464,4.318714775303515,5.5785002394204835,1.5614494642391414,1.5229611274105657,2.912187001553301,3.265304863730903,3.9525629137629834,3.8044675240795627,4.975695388489053,3.7417859442509025,0.4382445522638399,4.446971010640074,1.5982930982894152,3.982739546197199,4.528064481605329
Liver Cancer,4.6950604063418115,3.2028338038459276,4.440040843760426,0.04879754576939705,0.09546542566622739,1.75364948472307,4.167735828262273,5.949686294283348,5.1154615343096985,4.495462819010908,4.7278092709286135,2.2856773094387304,0.9688281409426276,0.027856539148298595,1.5678305649643491,3.776977710223332,0.16570529616735485,0.21882028717049096,2.634521512376479,3.3395961896627164,4.193997927158614,4.729505875113062,5.789401625043,1.3558702627103743,2.1211813481073407,2.8184136534577973,3.226906821143993,4.820527444723353,2.904904356222854,5.568014270638318,4.012215573656881,0.24665180821684338,4.736165173765503,1.1100840934351783,3.4531646299871825,4.857693646373434
Lung Cancer,4.717304049164441,3.658490105395017,3.6198416299328127,0.2963955902243057,0.16166471683439076,2.529163368129293,4.4807232106488835,5.601197070600026,5.208511629696895,4.243994961233727,4.239625459264951,2.329938466233221,0.914213519782077,0.0839552645752462,1.2151015423543057,4.242657284045806,0.34457575692747106,0.8311660156636808,2.780368712883396,3.5139051990092605,4.533681060975169,4.900752670217362,6.168996008111677,2.827161019808958,2.2488824317901384,3.02881119935687,3.359030541006361,4.487692605580613,3.2596537597147854,5.757373355519028,3.993176360671464,2.0725077341266402,4.833201472411384,1.4773578564395962,4.024739294310954,4.861802163772377
Lymphoma,4.037226500252043,2.3683804846579015,0.23414393234002104,0.10121836764596723,4.323308691617754,2.8741076454766192,3.96238259612267,2.100594021917622,6.970742503099459,0.20445980503266545,1.7133458177881358,2.064116062310087,1.8926488513421393,2.807460654716695,0.5058274366945948,4.1277518176705295,2.2553796019408705,3.3622024333252005,4.311555763791787,4.666458566476763,3.732015113756784,4.507998748917454,2.722121229828338,5.309386972505502,1.246123809073255,2.371748282558167,3.5573243941610975,1.4975426987765719,4.836447597705068,5.99722029800513,5.14251146219805,4.0992798068094745,4.935852703417401,2.1124414772630145,4.447338273471395,1.380594912066541
