Cancer_Type,ABL1,ABL2,AXL,BMX,BTK,CAMK1D,CAMK2G,CAV1,CSK,EGFR,EPHB4,FER,FES,FGR,FRK,FYN,HCK,LCK,LYN,MAP4K2,MAP4K5,MINK1,PTK2,PTK2B,SIK1,SIK2,SIK3,SRC,STK10,STK24,STK4,SYK,TBK1,TEC,TNK2,YES1
Lymphoma,0.19757966317255538,0.9098116651774512,0.1352523431335165,0.43119491043425096,0.5694186911507699,0.1685770430646261,0.35573636611773685,0.5061465835201627,0.4542034838793192,0.0035758529444134455,0.5694186911507699,0.889875964885619,0.09234164249328174,0.5694186911507699,0.032950383214957614,0.291522687103458,0.889875964885619,0.9598534442846784,0.5824730901969897,0.8650468790077722,1.0,0.8206745196973446,0.03358407951093336,0.04120071780195447,0.8354138453754828,0.7193660879190987,0.9949797739432688,0.8354138453754828,0.04837283310926692,0.8157739948259723,0.757528699864343,0.6541415450094847,0.9498276950483329,0.5956535128148985,0.10996436611637714,0.17936353052759138
ALL,0.6306852146425357,0.8944269969053026,0.8109903943000458,0.4840911622253965,1.0,0.042645569805326695,0.2846927409558867,0.4840911622253965,0.32589494101284167,0.1334338382568288,0.05557560428877463,0.11730680301423815,0.1097372322416564,0.01279959806885844,0.4669223669820163,0.2980892209030388,0.72928477951978,0.0044731622527830394,0.6695786456420787,0.519248247554982,1.0,0.8734465775233149,0.4840911622253965,0.38545696969136556,0.689309020586362,0.24655957577897006,1.0,0.8944269969053026,0.7698749998921366,1.0,0.0766523333397825,0.8734465775233149,0.7903727377532903,0.005299487178643863,0.7698749998921366,0.8734465775233149
Neuroblastoma,0.23515831926634445,0.4920570502059438,0.5867933937012054,0.9741279946623942,0.051723442249235474,0.268846554622893,0.45096124172270946,0.17230386289263244,0.23057346362184541,0.8540995521297436,0.3053231563074052,0.06581947250108118,0.8711220048065985,0.27898445973708325,0.6963341050381157,0.1278060090882619,0.1612323576755899,0.5943782881736932,0.19185563142554293,0.45096124172270946,1.0,0.8540995521297436,0.7044103818167706,0.63288233246826,0.6173674089706418,0.16486839724475405,0.1761037380915931,0.03741264813014936,0.014007122329599999,0.6485420669723405,0.33878990807124576,0.8371372217954723,0.7950393023376279,0.49907485724580014,0.7783409809607029,0.6564245147485952
Bone Cancer,0.02509667588225183,0.603217610029209,0.6514773427962428,0.27625533338543595,0.09840117666963498,0.7260570147627894,0.04254012768448945,0.0038149200825507135,0.6271883447764844,0.8810361811618526,0.9337729580941466,0.21449233253280775,0.907363817812816,0.09840117666963498,0.5795840000000001,0.6271883447764844,0.04254012768448945,0.6271883447764844,0.9867429111949892,0.021665923367532435,1.0,0.6271883447764844,0.5795840000000001,0.8287173946974606,0.3654683104386702,0.27625533338543595,0.7514196523258484,0.5334005612725948,0.5334005612725948,0.0029402270232795065,0.8287173946974606,0.44583834154275137,0.17393859716506632,0.6760651759978538,0.7260570147627894,0.603217610029209
Rhabdoid ATRT Cancer,0.5242843600465525,0.06416038631454055,0.7228973252791182,0.7710285652881772,0.6387442188840665,0.5936302027425882,0.9596997645989476,0.9496353041738621,0.7807545523090464,0.450957865215285,0.4828987562716336,0.9395779040128779,0.5412721760996331,0.9496353041738621,0.24829056581701822,0.5158816817070392,0.41256617049636035,0.6757115292213043,0.9596997645989476,0.8396998687415758,0.17393859716506632,0.420104686907635,0.8994469934720875,0.12471544223657097,0.9295289708192378,0.8794603130258999,0.44314093482351424,0.01984642197018114,0.7228973252791182,0.6205460876279014,0.8994469934720875,0.35486036365060913,0.35486036365060913,0.30828445682005556,0.9798442277615982,0.6205460876279014
Head and Neck Cancer,0.30521795110383343,0.17555347894955467,0.9340058043998496,0.6424570960055098,0.35885394640669555,0.7805904198542388,0.22367244668011485,0.03065101985025843,0.8576736157995608,0.7417745214557854,0.8423326035867013,0.8699838794348338,0.8007076721223017,0.5076463510806708,0.40723945705356257,0.925713332801241,0.28914404395920645,0.002529651248697865,0.8627990355804813,0.3039617315164668,0.1776654571308196,0.925713332801241,0.3478340016528916,0.2513915043945939,0.6660844548785079,0.2825111290178121,0.2660764475187098,0.721124671824956,0.8946923168548098,0.9029514251951198,0.49674443019827197,0.6547019343728874,0.3039617315164668,0.6823360580457392,0.43082839199358325,0.1144686393435033
Myeloma,0.1745190081300594,0.27556745095678037,0.05126558978649144,0.25513775175895714,0.04152149441031855,0.40383308831471165,0.8969858708195542,0.762121655996299,0.6175234895401425,0.6966831093957659,0.6330906812462618,0.00015267406467669873,0.7456094809807079,0.712884219214772,0.879918578878675,0.5567370561768314,0.8121826980280591,0.11210929146889191,0.5273023541661082,0.8628980736949712,1.0,0.8628980736949712,0.05126558978649144,0.5868236643627043,0.3305892594121097,0.25513775175895714,0.5567370561768314,0.470531995381542,0.9655902689187795,0.05858947538856762,0.04152149441031855,0.6330906812462618,0.6330906812462618,0.05126558978649144,0.34225952894002465,0.05126558978649144
Rhabdomyosarcoma,0.5372209352113229,0.9576852410216187,0.9576852410216187,0.2716375409938228,0.08895341813596276,0.03884525362035334,0.05557560428877463,0.38545696969136556,0.6500339654975799,0.06554305260101842,0.2846927409558867,0.15090149929248603,0.519248247554982,0.9788365001441937,0.8109903943000458,0.689309020586362,0.40114489796047836,0.6115423848512369,0.8317164053813368,0.9788365001441937,1.0,0.0766523333397825,0.2846927409558867,0.24655957577897006,0.4500365768888285,0.38545696969136556,0.2846927409558867,0.689309020586362,0.7495085962341482,0.8525390725425217,0.4669223669820163,0.25892587368422215,0.6115423848512369,0.24655957577897006,0.2345400670951943,0.5926152128455
Thyroid Cancer,0.6760651759978538,0.34659350708733405,0.9602404181286243,0.7009318849100584,0.7514196523258484,0.059972142477255234,0.2930500752928223,0.4670890543863402,0.0330412225454377,0.5563057751029299,0.3103760917056799,0.42503815489214547,0.6760651759978538,0.22911284098281892,0.44583834154275137,0.3103760917056799,0.9337729580941466,0.38484123026128336,0.34659350708733405,0.9602404181286243,1.0,0.5108853175152002,0.27625533338543595,0.20042268671194224,0.4047016712701569,0.6271883447764844,0.8810361811618526,0.12755286970323426,0.44583834154275137,0.7009318849100584,0.186904810349332,0.03758837757140939,0.07387770688865801,0.6760651759978538,0.6760651759978538,0.09840117666963498
Bile Duct Cancer,0.3605001915341338,0.9542085894577506,0.21606923347699775,0.9133530644866298,0.8205950483648299,0.12077049105679766,0.9542085894577506,0.7530495074287785,0.8371078121597078,0.9903549508947455,0.5665731912388556,0.45463836072603103,0.4583561170733975,0.5686417622422089,0.6214200250421619,0.7392760478618905,0.7347020505337638,0.8229496202070945,0.9662510076498705,0.8018146854204942,1.0,0.4454141464093164,0.48290690742722064,0.8276632359973477,0.8135405090890553,0.9903549508947455,0.7994744542691842,0.1184491707110405,0.4025612082305462,0.9373662509116757,0.2184298437992997,0.5002876084628768,0.7901306090134299,0.9566163710975804,0.7392760478618905,0.7415663079965014
