Gene,Mean_DepScore,Mean_Zscore
PIP5K1P1,-0.3789221316388667,-1.4136368636057466
TERF1,-0.37084561568464447,-1.4040814737431222
RAP2A,-0.19681712627185483,-1.3975269164660453
KRT8,-0.643373277358322,-1.3862202769156364
MSI1,-0.2527509055317746,-1.3855806142547884
PCM1,-0.5052760594066803,-1.3729964828516976
GTSE1,-0.4796314436657065,-1.3478676413004744
OR2T34&OR2T3,-0.23102033908804445,-1.3475953319507872
WNK2,-0.23853240634005551,-1.3416944394527286
SSX8,-0.21877472725383335,-1.3376284679926234
LYRM4,-1.5519044592835505,-1.3315877193956254
RHBDF2,-0.3438823756159094,-1.3213446634939026
CDY1B&CDY1,-0.2209350130621911,-1.3178373561617904
CDIN1,-0.750012215806332,-1.3157626748895177
BCAS3,-0.2740513169689294,-1.3127799960005322
PRR5-ARHGAP8,-0.2777233197637778,-1.3102540054148164
CCND1,-1.634552870335781,-1.2950912612946293
PATZ1,-0.27843473087221005,-1.2937957015063593
OPN1MW,-0.14818321304626667,-1.292317212870203
POLR2J3,-0.0449282205490889,-1.291966613856017
CENPX,-0.3995610940841696,-1.2914726785651653
SPICE1,-0.38963714455768694,-1.2887688736421157
ASCL1,-0.2977079567244518,-1.2851593311842315
SIVA1,-0.28285632352198187,-1.2834880556582469
FCGR1A,-0.8509478757172186,-1.2801329426440475
SSBP3,-0.4980904806431643,-1.2778474144041225
CEP170,-0.3645353080360662,-1.2739179196250512
C1D,-0.6117091738995897,-1.2718990338885274
KLRA1P,-0.28963816308177776,-1.2701439919013746
CHMP4B,-1.7329385237432708,-1.261155464814995
EIF1,-1.4866860367697097,-1.2610948940003495
PHOX2B,-0.17500764102110056,-1.2584644650986627
GYPC,-0.09661200226515329,-1.2432570384476456
RPS2,-1.9347621117979052,-1.2320402327849758
CD3EAP,-0.4421633212031556,-1.2317834360362065
HIST1H1E,-0.23410841267785557,-1.2290912096852533
PPP2R3C,-0.8226854559569066,-1.225793349032233
RPS10-NUDT3,-0.4497383552891111,-1.2249920419949352
ZMIZ1,-0.32541414481373176,-1.221833627682023
LOC107984838,-0.2368050835282222,-1.2207071066386541
FIGNL2,-0.1520119964867111,-1.2177059169565103
MPP6,-0.21472276071507668,-1.216256778312079
CCNL1,-0.7715874274111466,-1.2107111220662892
ANKHD1-EIF4EBP3,-0.23582176847487776,-1.2087967629953609
RTEL1,-0.7669647086495456,-1.2048608932388039
CENPF,-0.4324837416614629,-1.2019771407679487
MKRN1,-0.419388612270861,-1.1960913838324072
RPL7L1,-2.018404052298221,-1.1952661376232288
ERC1,-0.16630121605207648,-1.1939608309243608
HBG1,-0.2580827977999889,-1.1935527012693443
INSR,-0.26244903797354174,-1.1888832977798913
NSA2,-1.6379785710300516,-1.188074216959509
RAB6C-AS1,-0.3128877895058,-1.1847989499625944
HIST3H2BB,-0.2190373846236778,-1.1824457832368602
POP4,-1.1823435351009044,-1.1802017882976803
KBTBD2,-0.2956843832993048,-1.1778870431654789
MAML3,-0.037905107740924905,-1.176376823928263
NACAP1,-0.25805384753561555,-1.1762205572757565
SELENOO,-0.16627361664488005,-1.1739581900627116
GLRA4,-0.1552593099867,-1.1689005893285416
IGF2BP1,-0.2214076665180133,-1.1677525008111025
MDM4,-0.48807661655380924,-1.1673825969586702
COX17,-0.9924405820223683,-1.1636323008334126
OR1E2,-0.4871305401863738,-1.1555707671083733
UCN,-0.33954285361045194,-1.1475702139984774
MARCH5,-0.24758424486111108,-1.1458648491665337
LOC729603,-0.09763607512362223,-1.1438550568451085
VRK1,-0.6165371920520183,-1.1313704605180985
MICOS13,-0.4374650626157284,-1.130778224755993
SDK2,-0.25635563388053906,-1.1257822024174142
C1orf186,-0.21123163674116668,-1.1245766246243338
AGBL4,-0.32403274936086474,-1.12449391422052
PMF1,-1.3068520084437103,-1.119947698507294
LOC101929748,-0.1082337631002,-1.1194625476760685
RPS27A,-2.1690434228781106,-1.1190195621754584
VEZF1,-0.4897155788917512,-1.1168423290077412
PIM1,-0.24015268839371923,-1.1161203185634117
SERBP1,-0.8187764533513289,-1.1115426647316908
MAPK8IP2,-0.1093467085896,-1.1067807355346102
BTF3P11,-0.02141872140626666,-1.0990667848594198
TMA16,-0.9376717171944895,-1.0976362672509152
MYT1,-0.21157528893045888,-1.0951747923137771
PIM3,-0.3066513442245481,-1.0935989057764404
