Gene,Mean_DepScore,Mean_Zscore
ZBTB8OS,-1.4920903481965766,-1.2075856635494664
C1orf140,-0.12752202033845,-1.2050663699310684
COA5,-0.7807024681177401,-1.1962401319641192
RPL21,-3.248467240206601,-1.195663188780686
PTCHD3,-0.06671740335835,-1.192733668106758
DDX11&DDX12P,-0.15127765423200001,-1.1904277452748955
GOLGA8A&GOLGA8B,-0.037592563180785,-1.1893580964191728
FAM189B,-0.1334454239665,-1.1890100562970094
ZC3H11A,-0.2619937273370458,-1.1825762105433812
POM121L9P,-0.042162245835550005,-1.179392002442366
A2ML1,-0.05656155267785803,-1.1751688608054605
ZNF385C,-0.10455024648985001,-1.175013753181747
PPCDC,-0.43724790738321967,-1.1742694466720223
ZNF718,-0.2529478245585,-1.170183874409228
GCLC,-0.3615582752468019,-1.170059607746922
FAM133DP&FAM133CP,-0.3761553750455,-1.1657828509145336
C7orf69,-0.1871141272236,-1.1639258854957737
GNG5,-0.38292785082049985,-1.160507182951606
CENPBD1,0.02541583035775,-1.1570868289402205
C16orf52,-0.10872675972225002,-1.1560562929189486
MROH5,-0.1093693167934,-1.1443001763534584
C19orf35,-0.15822447400425,-1.1428070458146231
PICALM,-0.3201017181003055,-1.1394707461572833
DLST,-0.6710875525670971,-1.136357436627456
PRKAA1,-0.09693244760788645,-1.135733412521859
CDK13,-0.3926158508166185,-1.1275311210388697
TMEM164,-0.08275886697822403,-1.1272468009262868
MYBL2,-0.9047762088413359,-1.1251715514451417
LINC00474,-0.29601085412899997,-1.1182457101052552
GUSBP1,-0.155343640575,-1.115396956040787
STK17B,-0.04804289635870039,-1.1140432395083983
STN1,-0.6904249306188827,-1.1094687821536142
FAM24B-CUZD1&CUZD1,-0.06365013864249999,-1.106366875973258
CT45A9&CT45A2,-0.07802655903434999,-1.0984919366837989
EMC3,-0.959015488967502,-1.098073974834114
MPL,-0.19963957378072944,-1.0972868141618244
DCBLD1,-0.06431871028124399,-1.0873694848718687
STAG2,-0.6798647363705376,-1.0806340055150867
KDM1A,-0.38076918131849286,-1.079891257893471
FLJ33534,-0.0933993626794,-1.0794336960449469
REXO1L2P&LOC100288562&LOC101929601&LOC101929627&LOC101930111&REXO1L1P,-0.05282681003465684,-1.0746394435026965
CCND3,-0.5366490629110997,-1.0664555845793824
MED1,-1.0111191884730615,-1.064167099473262
C4orf22,0.010957298581400002,-1.0641375194334453
MARCH5,-0.2330731673294965,-1.0634252116852487
C21orf59,-0.2882514447286,-1.0616985017540832
LYL1,-0.1674218265730814,-1.061461722991373
PSIP1,-0.08978265097642654,-1.0597128385640513
WDR20,-0.2760647964851582,-1.0569445212572242
CEACAM20,0.0145181500459,-1.0498685341350864
APOBEC3F,-0.2802529861476222,-1.04915593722051
GSTTP1,-0.004659102837995,-1.0491115391975987
PQBP1,-0.3695983780334435,-1.0460289643053242
MOCS1,-0.12825992168763362,-1.0441616123000554
MAPK6,-0.25636633486482785,-1.0439209068941893
GAB3,-0.01876577826453637,-1.0396761135197117
ARHGAP45,-0.26157927506061657,-1.036103147375607
PQLC1,-0.274323980337,-1.035878271218278
PHEX,-0.01939188125819851,-1.0312806489799105
C15orf54,-0.04254558095735,-1.0312609281592289
LINC00518,-0.21198340435236843,-1.0260887367608964
EMC6,-0.4527629465273984,-1.0213296472722728
SLC35G6,-0.2314483487681225,-1.0187274507377901
FAM99B&FAM99A,0.0463977682095,-1.0182327779940972
ZNF645,-0.006815873900026314,-1.018146017540903
TBC1D5,-0.23779502778619963,-1.0103129843770604
CITED2,-0.301387712923466,-1.0081864964297762
