Gene,Mean_DepScore,Mean_Zscore
LOC102723414&LOC102723608&LOC102723819&LOC102723933&LOC105371747&LOC105379635,-0.16716302202652,-1.401356514495449
TEN1-CDK3&CDK3,-0.1525208034159,-1.3982916856975698
WDR66,-0.14227984721261333,-1.3932256507441
KCNJ12,-0.25742507567736667,-1.3931928046359703
C2orf16,-0.15919254347595002,-1.389865348859482
LOC652276,-0.18180885855599999,-1.380494950586273
NAMPT,-0.8745419360936244,-1.3758113869193367
ALAD,-0.32927105664638456,-1.373529759931542
TPK1,-0.3255931309305483,-1.3677671431289196
TOMM20,-0.9042853245696247,-1.3650797842403208
ATIC,-0.7157589030370206,-1.3619557405314424
TCF12,-0.21031047588611257,-1.3608404293548781
HIST1H2AC,-0.5488702662128572,-1.3593608143870703
ZNF592,-0.23947995685451687,-1.354994359782743
ADSS2,-1.0295512924631494,-1.3538976569799517
FLT3,-0.2839341821748353,-1.33854016388746
ESPNP,-0.3027367748784572,-1.3322511529336314
TBC1D3J,-0.3247579876288,-1.3305526457907786
FER1L6-AS1,-0.22693931575188003,-1.3244091679768857
SORD2P,-0.20589239987006666,-1.3172724148805264
MAML1,-0.2657923581812111,-1.3131785055553302
KLHDC7B,-0.1813265433583993,-1.3127607865208608
MTHFD1,-0.6390846099718483,-1.311962850807527
PDXK,-0.31686846360631093,-1.310907915820135
KRTAP5-10,-0.2902448988491794,-1.310612926553452
ST13P4,-0.10616662424551428,-1.3104583729261985
TAFAZZIN,-0.8870923155518043,-1.308865623646432
WDR20,-0.3122064798816979,-1.3033345275889416
C8orf44-SGK3,-0.506892110291889,-1.2990184587700366
KRTAP10-11,-0.27260171256987076,-1.2959469415750318
AHDC1,-0.3150791237460176,-1.2959436503922355
ARHGAP19-SLIT1,-0.2678712523281,-1.295037451802915
LOC399886,-0.0689684986383,-1.293402662984828
DARS2,-0.6283066435162566,-1.292504739782688
WDR49,-0.2870230112722085,-1.2895953210526612
WSB1,-0.21274287155157295,-1.2890383627998958
LIPT2,-0.3829183560799867,-1.2853399536050918
CFL1,-1.0636526434988947,-1.2849924028704978
THAP3,-0.24591894148030688,-1.2819025778526605
IGLL1,-0.33049097640476505,-1.2806230824531246
ZNF608,-0.25601883119471347,-1.279363009241389
DFNA5,-0.1394288795425,-1.278044962896167
NEU4,-0.03852400117793343,-1.2752737608194726
TPPP,-0.20212265810690222,-1.2720624802843103
ANKRD36,-0.32955059936705683,-1.272012638774063
PIM3,-0.3366661688319438,-1.269804354712024
LOC220729,-0.0800666926719889,-1.2667161489734051
HMBS,-0.3334220544408756,-1.2663333244593917
CMIP,-0.6778098675560398,-1.2650010290837537
PMS2P2,-0.25856402892657143,-1.264944094068436
RYK,-0.3196901065618223,-1.2595238094625034
LOC644936,-0.3919086473922,-1.2594222357313765
AFF1,-0.1964775939644438,-1.2584923866577977
SPDYE4,-0.17412226753838866,-1.257238170995788
OR9G9,0.0383168980432,-1.2569738763674203
SMARCD1,-0.47975532887249833,-1.2531268139270506
H2BC7,-0.16245704998185148,-1.2512752888013097
SLC25A1,-0.4604686185868417,-1.2512463975331969
PEX7,-0.21195257800471226,-1.2440292845590877
RPS26,-0.803596953265,-1.243391438772141
