,ABL1_expression,ABL2_expression,AXL_expression,BMX_expression,BTK_expression,CAMK1D_expression,CAMK2G_expression,CAV1_expression,CSK_expression,EGFR_expression,EPHB4_expression,FER_expression,FES_expression,FGR_expression,FRK_expression,FYN_expression,HCK_expression,LCK_expression,LYN_expression,MAP4K2_expression,MAP4K5_expression,MINK1_expression,PTK2_expression,PTK2B_expression,SIK1_expression,SIK2_expression,SIK3_expression,SRC_expression,STK10_expression,STK24_expression,STK4_expression,SYK_expression,TBK1_expression,TEC_expression,TNK2_expression,YES1_expression
EPHB4_depscore,-0.008759082090182842,0.015257727876013268,0.06943553737239748,-0.021711485489348096,0.007204892875142319,-0.03383225544600012,-0.05573401400736143,0.07764311275679316,0.004689131287459795,0.03865786741997872,-0.08063098645485212,0.03752494600893286,-0.011631272697272776,0.009841194237639258,-0.047344663979781786,0.06691203842094785,0.031035819865398672,0.008677082527968526,0.04428138107711117,0.011674340417368001,0.049687880248056954,-0.02130868575650893,-0.02659270576838725,0.021892449063545823,0.014720841050275688,-0.008142151763243028,0.008187215084572574,0.0004266177439285233,0.0512131645773172,0.05825208910089948,0.046391994724700916,-0.0030965713345390894,-0.02564191997196424,-0.030073695681756576,-0.049984195729722285,-0.06607919744173378
FER_depscore,0.02753292548953718,0.05212519493085912,0.09092784093086956,0.03714580568742686,0.02333148238644302,0.01008782850501225,-0.036077123594457486,0.05510495067663334,-0.02513111579244188,0.012284236244549992,-0.0648510961880001,0.03636925250064192,0.022189648499771633,0.012601240069618448,-0.0793171732138615,0.06926105049848451,0.004587344303526409,0.01048714096764793,0.0017055846714352201,0.02998945542885575,0.045784141000226215,-0.04150992305761352,0.013190924926152144,-0.0061604068176867996,-2.9709158601195866e-05,-0.024623784165831938,-0.0030762656033207726,-0.009230692211405994,0.04909578903287767,0.011552274312448648,-0.015687443339179687,-0.039595819603552844,-0.020445371221295604,-0.023322106917184386,-0.024553676812482047,-0.052537647078989856
FES_depscore,0.005733171767794822,-0.04900551220377741,-0.05329472911325718,0.02045605512361225,0.07317647322399581,0.011233253841183349,-0.001916906854438665,-0.05879298064510733,0.04252310674562379,-0.057754413925314455,0.0026654066657993613,-0.054836262590537366,0.0765064038536636,0.03919276444764183,-0.030597724352934706,-0.07092255033151337,0.07873847515573158,0.03666906685179288,0.0006958337031408798,0.09090514444744763,-0.01613887590458405,-0.024721902553610862,-0.03863042445708429,0.005225789891431486,-0.03550841546400962,-0.020677434527988675,0.02661846772388291,-0.09155088108306507,0.01863473727891067,0.002497138441873832,0.04874785536667971,0.030284445627177085,0.012170460027847973,-0.01928836405243488,0.0172053956447478,-0.021131525756267963
FGR_depscore,0.03116188915137907,0.07185487879507424,0.007792635755742923,0.019247837717490474,-0.09133560806252891,0.00987685989417677,-0.011545975353848971,0.013649972620065346,-0.020864438557379277,-0.023561890026495655,-0.01387554251595825,0.039126939607524835,-0.0768599182686183,-0.07700813114986224,-0.01380265488298942,0.012900899891964033,-0.06419063201883321,-0.06586151843901016,-0.011382746805523395,-0.014457588882529012,0.02897109263102634,0.007079960235274251,0.006635482370937516,-0.11132995026646215,0.026441989569951033,0.022773703075546412,0.012013879046978135,0.017288625095835293,-0.013484127626406188,0.014760768393482643,0.056504622617008796,-0.09284586248255698,0.022073327360596688,-0.08837770408843472,-0.023688766578271746,0.019914368361660075
FRK_depscore,-0.0191830489032582,0.03947045893137747,0.09336967029875956,-0.00763899263712006,-0.08498317333010078,-0.06894182473059038,-0.03237400084406536,0.09630966950567942,-0.08472051945456417,0.08126630287968711,0.07799612980214714,0.02209902689002164,-0.05669523056205503,-0.060691948035390235,0.018962510009961266,-0.07033114171773751,-0.057814596658237766,-0.025156967626662433,0.007228371778490909,-0.09695685761233383,0.05725559234720162,0.030704066352180887,0.0692133044863341,-0.07001597978629581,-0.005936142703646825,-0.02266035799209452,-0.03691483633990878,0.07261692946518856,8.329033821346361e-05,-0.020201302764758323,-0.06735701421837889,-0.08900482358534495,-0.02220461257239525,-0.06595005279709837,-0.0625460334203256,0.031824105326743575
FYN_depscore,-0.006534140105039874,0.020549864177558826,0.014030077575072887,-0.01285444756779543,0.013307689947405495,0.016456253877373983,-0.06442216899017433,0.05525480646509454,-0.008507033391415226,0.02065592921226828,-0.11835295224480812,0.10110415516453132,0.004702805840696067,0.038918604908395514,-0.00682655501726842,0.07268193375606267,0.0030502453237086194,-0.0013125571214455062,0.0684315862368943,-0.035240784026463155,-0.0017700437669957011,-0.011817151217046249,-0.03997380557690792,0.05268942135259135,0.02399469583931381,-0.032243904847159055,-0.010891191026816727,-0.005276223974958403,0.042548603922901114,0.035611427779050416,0.03064594764727156,0.027674017395106127,-0.017923488513832464,0.014615200149618635,-0.017656908526626672,-0.015050487229096035
HCK_depscore,-0.02422447772687422,-0.03206676072379842,-0.07943054565632245,0.02751800190694254,0.08934571758608,0.0050547732553115595,0.025152524587861966,-0.10282415882989249,0.05215660351549168,-0.10469726689898254,-0.06094643242182356,-0.046730181190128846,0.05567861518227717,0.05299858163899781,-0.058839259204401737,0.01283448077623496,0.056579488692572365,0.020435891681734573,0.011095775032408656,0.036429888540667386,-0.007660912746621026,-0.035551795384472853,-0.08426688287930038,0.04762068140594693,-0.04619752914847823,0.02217722294275248,0.07933578258192775,-0.07502470029870448,0.032895489449230896,-0.025343821011830036,0.11195737074070683,0.03015039965736621,0.004842985268778774,0.018869120321364022,0.04495037613686943,-0.05582248802076038
LCK_depscore,0.014378673962156984,0.006296542333831891,0.01345311892298026,-0.0061601983321238635,-0.005727916554857645,0.013039532883065015,-0.0387473176937361,0.010648924338942087,-0.010393356456806583,-0.010908427434793326,-0.05387379471707119,-0.03698522869899893,0.031770897251065314,0.012302768043771728,-0.026708051963098056,0.04320358477392365,-0.0003443497482845661,-0.05233559454396675,0.054269198724361874,-0.03922366502228509,-0.0319008077906495,-0.03850387122330529,-0.010084357701972784,0.026403749576713344,0.03511147378028586,-0.0428617958734443,-0.045602410602170594,0.016809456283062633,0.012418516150588641,-0.01336699414004416,-0.044321022835601576,0.009756923624217267,0.0069455233189685125,-0.001935442784101385,0.0010656371356290888,-0.04344821564379185
LYN_depscore,-0.014865788562679907,0.037897454604453075,0.08748925303389016,-0.009367437546130234,-0.20952443457107037,-0.09124472897678718,0.05035442616251736,0.09072652197372807,-0.16423725008312962,0.15716877728908143,0.09882264819594812,0.060001784244031534,-0.04745794395113465,-0.06372324169900731,0.07019709384519177,-0.013957612112528524,-0.13638254036988745,-0.1035071684832778,-0.03969179601437784,-0.16390903183717262,0.00613054027838777,0.046609617462971625,0.05902154749526839,-0.008177029897997356,0.05787658870821795,0.028101305888624927,-0.0666258143847986,0.1362616881639042,-0.08525396238446865,0.019993483917886322,-0.1213207581668317,-0.06890155172186041,-0.05146566271161097,-0.036610333211373323,-0.04504791681639762,0.133078983463668
MAP4K2_depscore,-0.027904772386044312,-0.0541428060512906,-0.11906408643055612,-0.02827481439584132,0.05173130181799346,0.012689608155817057,0.0010565683809532235,-0.1419721135777832,0.0546406658796094,-0.1157713879174833,-0.009098830463927805,-0.04530031700631179,-0.007447495402597749,0.034157659640899014,0.002293905432961185,-0.03086095526955003,-0.015956478465728025,0.04365468721945608,-0.043549925591837145,0.02409514832701283,-0.0792324152985775,-0.05058156793847436,-0.053442368658804716,-0.013540904607174735,-0.022920397766156418,0.049718333376350184,0.038530138439546335,-0.10533395373414085,-0.035218530142888345,-0.01856152234850197,0.008195185901253123,0.03895391374168191,-0.010807691929225784,0.04274291342707027,0.11202212778166687,-0.05769732502646169
MAP4K5_depscore,0.11065515128612087,0.0897277294088987,0.10915196503746594,-0.011023140170714263,-0.04816759411245236,0.02968477351165574,0.053336611808383026,0.02562109370190893,-0.04864124246666369,0.07636315125686444,0.12491622230319874,0.04721299177380753,-0.010288816005462649,-0.12215100542947908,-0.10484076736350001,0.05723142774522485,-0.04417357012534433,-0.02691891473614165,-0.04170482370771713,0.04115090242003313,0.14800839820135714,-0.03731807609438082,0.22312768551148074,-0.17232474765416117,-0.02224621163022401,0.06207321122857692,0.020989940225279988,0.07057451106113351,-0.024440715082744396,0.04756107353774811,-0.07347018280713007,-0.06680550887594235,0.04870960045929911,-0.0414929092240479,-0.02666924728165963,0.05031131054043973
MINK1_depscore,-0.00745817926337132,0.09340899558798875,0.09924947483119805,-0.022311189473324222,-0.07694884911424417,-0.04359345514472292,0.04825028005142433,0.13152967038281732,-0.08698205051443951,0.11226541484178243,0.05035199866372486,0.06140087014431563,-0.01352782074757513,-0.07533174789390727,0.05506146947946373,0.001312410819501246,-0.04973751126751849,-0.05006649569486829,0.0007112589579048187,-0.05500193604932008,0.028841365216791762,0.041020841047662876,0.02709681363603268,0.0046410997504064706,0.051616889990495796,0.018594489632016986,-0.03500021432156094,0.020108085886863046,0.0384606829754455,0.06708216697764965,0.008142667492264234,-0.02958216094902242,-0.016469859207438455,-0.04364387190311216,0.054950951341974176,0.07222054698244326
