,ABL1_expression,ABL2_expression,AXL_expression,BMX_expression,BTK_expression,CAMK1D_expression,CAMK2G_expression,CAV1_expression,CSK_expression,EGFR_expression,EPHB4_expression,FER_expression,FES_expression,FGR_expression,FRK_expression,FYN_expression,HCK_expression,LCK_expression,LYN_expression,MAP4K2_expression,MAP4K5_expression,MINK1_expression,PTK2_expression,PTK2B_expression,SIK1_expression,SIK2_expression,SIK3_expression,SRC_expression,STK10_expression,STK24_expression,STK4_expression,SYK_expression,TBK1_expression,TEC_expression,TNK2_expression,YES1_expression
EPHB4_depscore,0.7681681476228734,0.6076067178966599,0.019308893103298183,0.46494108410173557,0.8084184747333276,0.25475708578634737,0.06051045360858058,0.008874616877956059,0.8746124208584879,0.19311277238184776,0.006570331562567571,0.20649633774461368,0.6954747934281741,0.7405008399343913,0.11089866401782812,0.024177716040925886,0.29616677782013423,0.7702772786488482,0.13598337528660145,0.6944038657489049,0.09429544275853881,0.47326616258534665,0.37074805876425737,0.46122756762897044,0.6203022734329902,0.7840773705325452,0.7829121448936407,0.9885453136125224,0.08460140550256796,0.049762168032683664,0.1182752422579504,0.9170042481408527,0.38810437974347106,0.3114002818274979,0.092345623080154,0.02600261043017615
FER_depscore,0.35406607080250985,0.0792005300734069,0.0021671443622275233,0.21112208370051194,0.4322936130179183,0.734240110401056,0.2245622781546429,0.06347676603764384,0.39762975711890064,0.6793043699069492,0.028910075368700563,0.22082913242302693,0.4551648672947169,0.6715061436131348,0.007507657475784297,0.019615633229734187,0.8773124450491504,0.724141164046966,0.9542285807629157,0.31275821751277855,0.12317919646425195,0.16225701333347858,0.6570940994397731,0.8357631467692326,0.9992022818599754,0.40722835318706,0.917546546490718,0.7560714483384837,0.09829019595005885,0.6974407542777669,0.5975296297028784,0.1825230782623886,0.4913818634646967,0.4324786586023705,0.4085655353732499,0.07685175997788074
FES_depscore,0.8470075672712213,0.0989109706918104,0.07268814115918755,0.4911554237399898,0.013667408852811489,0.7054004609443129,0.9485649143253314,0.047675213967953683,0.15224048002931875,0.05174943919464473,0.9285271039155194,0.06477981605809044,0.009925266064773999,0.18701974824285825,0.30304037076357365,0.016860270520377144,0.007957245193052595,0.21704419793740856,0.9813179292627014,0.0021727220255248437,0.5870257460949474,0.40536128946057687,0.19342925805538277,0.8604017143241304,0.23195857819495527,0.48647602503466497,0.3702845784490843,0.0020190587631901532,0.5305526943451985,0.9330282627291882,0.10069990938540939,0.3080200693975356,0.6821116742870444,0.5162318985578782,0.5625555519014938,0.47695348079764416
FGR_depscore,0.29420824632944437,0.015467809102170054,0.7931312210937002,0.5171139635486859,0.002069143143064232,0.7395944054183734,0.6975975982852703,0.6459620248120082,0.48254206392332955,0.42776042014774524,0.6405205531332789,0.18776181639757253,0.009587238015462867,0.009448594697350961,0.6422767460112542,0.6641668889199512,0.03058623816021401,0.0264987481570243,0.7016664697993014,0.6265691494138534,0.32948169127571403,0.8116776349675084,0.8232989525236083,0.00017111607319731927,0.3734667778958731,0.44338205527678287,0.6859823280814181,0.5606668163243204,0.6499748645106903,0.6193541640723724,0.05703399571014635,0.0017404968577200862,0.45753239927148726,0.0028827136944457694,0.42527601381708796,0.5027063940468205
FRK_depscore,0.51852572436596,0.18391299875287062,0.0016382063936890285,0.7971200949513522,0.004168875832161608,0.02018783124996011,0.27582054911152576,0.0011596270329092219,0.0042873773503493895,0.006155940329603105,0.008569152897751507,0.45700873277134796,0.056200184649675786,0.040921060193824806,0.5233461762850073,0.017799468323472734,0.05150565232463617,0.3971443215375671,0.8078063411667825,0.001073339303568107,0.05380740317431302,0.3013622392020062,0.019700305757393562,0.01831842553553331,0.8416615384808668,0.4456549912363849,0.2139764796087668,0.01440578763986431,0.9977635806269951,0.4965699805698895,0.02324894349173143,0.0026891327680226224,0.4548607982952361,0.02629598228848259,0.03512606275978209,0.2840631227207241
FYN_depscore,0.8259541724354892,0.48916959560637513,0.6368037564648372,0.6653025149729761,0.6542551645276102,0.5796925447139332,0.02998937920229062,0.06275945875623502,0.7746565498703301,0.48692953487908347,6.416532465533096e-05,0.00064685771562761,0.8742497969682562,0.19012475417446786,0.8182982648065691,0.014318240701173705,0.9182415173383838,0.964768074236972,0.021132625161875813,0.2354983721937282,0.9525007483467035,0.6908570809311144,0.17837930406425617,0.07600186047981256,0.4193202488214358,0.27775573171212126,0.7139709812895066,0.8590684648868865,0.15199461502761225,0.2306062038473818,0.30227861499780223,0.3516042325792499,0.5463615843164756,0.6228138462492216,0.5523463246410977,0.612493547406633
HCK_depscore,0.41611799086783197,0.2816833405275152,0.007581128973474677,0.3556050697251628,0.002657950878792045,0.8652804182693782,0.3984810151749417,0.0005395717358971183,0.07981784149874763,0.00042559537380026084,0.04061181629543908,0.11658273449257082,0.06145423107789069,0.07506575799529419,0.04809176171780694,0.6666238144527971,0.05736476720569206,0.49273258122809344,0.7095778446440977,0.2212858894245181,0.7970785297116257,0.2326283872514083,0.004606701796871418,0.10977215389738577,0.12081225215324126,0.4566139599492449,0.007653594558732463,0.011681030917960336,0.2694272416712825,0.3949022380755259,0.00016355934517247643,0.3114523489076406,0.870874425453317,0.5264935269611636,0.13118400481360384,0.06078539837264236
LCK_depscore,0.6284530514060808,0.8321871052454688,0.650726292098443,0.8357686259406617,0.8471460782804298,0.6607822944215181,0.19208382556608533,0.7200630218016689,0.7265088237920226,0.7135382420589789,0.06962954567194113,0.2131036175734083,0.28486942178862146,0.6788475370150897,0.36867567862130735,0.14578174045863435,0.9907540987495123,0.07799519477317063,0.06760229451752817,0.18667214146710476,0.2829035143056939,0.19489365488611654,0.7343280944278376,0.37415853169413776,0.23722228969253145,0.14899914000390624,0.12467571789955054,0.5715824154546725,0.6759968675284983,0.6528151949638236,0.13563291603275268,0.742643986183808,0.8151883788742902,0.9480682506895853,0.9713927850950365,0.14351173594914565
LYN_depscore,0.6168633894090171,0.2020235162718611,0.0031787450534212667,0.7525749499687377,1.0012231803216564e-12,0.002090626272413688,0.08995501581510014,0.0022170793476849237,2.6238462152889816e-08,1.0248924205285782e-07,0.0008566631465794127,0.04327567890655097,0.11004620839739387,0.031822177453479816,0.018018603053163957,0.6385455290425962,4.003631447909892e-06,0.0004782092827140984,0.18146422035633356,2.798909288478991e-08,0.8365481448689581,0.11655718806253337,0.04681567056860345,0.7831754661042034,0.05125554072178853,0.3442149511127058,0.024791967740870086,4.08384312740616e-06,0.004049818264515489,0.5010104316626812,4.1689903573636255e-05,0.02026104212630248,0.08307719196377733,0.21778197182339262,0.12932949051935275,6.844059263374518e-06
MAP4K2_depscore,0.34760131024681123,0.06824497396819108,5.791906339712803e-05,0.34124286161979644,0.08149771573560706,0.669338542811859,0.9716361345156133,1.5702619541697137e-06,0.06574219519642131,9.261610953469519e-05,0.7594478081774313,0.12719469848116438,0.8020991415694904,0.2502135185697498,0.9384675656576061,0.2988977561880019,0.5912594657708935,0.14161697781461438,0.14257594646930763,0.41737539565652976,0.007572050569208353,0.08851313652390917,0.07189807248171085,0.6485999209175648,0.4404501959565914,0.09409354731495072,0.19458904074801153,0.0003784706153527762,0.2357944204472721,0.5321692684883735,0.7827060898880522,0.18972274835816963,0.7160686178157771,0.15013082881502737,0.00015573029988608924,0.051981584034403186
